teryt;nazwa;typ;l_ludn_pow17l
0620122;Sułów;gmina wiejska;3885
0620142;Zamość;gmina wiejska;18532
0801022;Bogdaniec;gmina wiejska;5700
0801032;Deszczno;gmina wiejska;7561
0801042;Kłodawa;gmina wiejska;6638
0801052;Lubiszyn;gmina wiejska;5578
0801062;Santok;gmina wiejska;6648
0802022;Bobrowice;gmina wiejska;2653
0802032;Bytnica;gmina wiejska;2051
0802042;Dąbie;gmina wiejska;4077
0802052;Gubin;gmina wiejska;5974
0802072;Maszewo;gmina wiejska;2328
0803012;Bledzew;gmina wiejska;3626
0803032;Przytoczna;gmina wiejska;4708
0803042;Pszczew;gmina wiejska;3525
0804032;Kolsko;gmina wiejska;2684
0804052;Nowa Sól;gmina wiejska;5544
0804072;Otyń;gmina wiejska;5543
0804082;Siedlisko;gmina wiejska;2868
0805022;Górzyca;gmina wiejska;3385
0806032;Stare Kurowo;gmina wiejska;3343
0806052;Zwierzyn;gmina wiejska;3538
0807012;Krzeszyce;gmina wiejska;3821
0807032;Słońsk;gmina wiejska;3867
0808012;Lubrza;gmina wiejska;2874
0808022;Łagów;gmina wiejska;4232
0808032;Skąpe;gmina wiejska;4208
0808042;Szczaniec;gmina wiejska;3135
0809022;Bojadła;gmina wiejska;2698
0809072;Świdnica;gmina wiejska;5274
0809082;Trzebiechów;gmina wiejska;2745
0809092;Zabór;gmina wiejska;3331
0810032;Brzeźnica;gmina wiejska;3011
0810062;Niegosławice;gmina wiejska;3600
0810082;Wymiarki;gmina wiejska;1947
0810092;Żagań;gmina wiejska;5865
0811032;Brody;gmina wiejska;2806
0811052;Lipinki Łużyckie;gmina wiejska;2652
0811072;Przewóz;gmina wiejska;2637
0811082;Trzebiel;gmina wiejska;4713
0811092;Tuplice;gmina wiejska;2611
0811102;Żary;gmina wiejska;10009
1001022;Bełchatów;gmina wiejska;8864
1001032;Drużbice;gmina wiejska;4194
1001042;Kleszczów;gmina wiejska;4349
1001052;Kluki;gmina wiejska;3501
1001062;Rusiec;gmina wiejska;4231
1001072;Szczerców;gmina wiejska;6592
1002022;Bedlno;gmina wiejska;4701
1002032;Dąbrowice;gmina wiejska;1606
1002052;Krzyżanów;gmina wiejska;3592
1002062;Kutno;gmina wiejska;7273
1002072;Łanięta;gmina wiejska;2010
1002082;Nowe Ostrowy;gmina wiejska;2940
1002092;Oporów;gmina wiejska;2146
1002102;Strzelce;gmina wiejska;3340
1003012;Buczek;gmina wiejska;4103
1003032;Sędziejowice;gmina wiejska;5278
1003042;Widawa;gmina wiejska;6313
1003052;Wodzierady;gmina wiejska;2784
1004022;Daszyna;gmina wiejska;3273
1004032;Góra Świętej Małgorzaty;gmina wiejska;3605
1004042;Grabów;gmina wiejska;5121
1004052;Łęczyca;gmina wiejska;7047
1004062;Piątek;gmina wiejska;5078
1004072;Świnice Warckie;gmina wiejska;3336
1004082;Witonia;gmina wiejska;2802
1005022;Bielawy;gmina wiejska;4673
1005032;Chąśno;gmina wiejska;2422
1005042;Domaniewice;gmina wiejska;3748
1005052;Kiernozia;gmina wiejska;2841
1005062;Kocierzew Południowy;gmina wiejska;3487
1005072;Łowicz;gmina wiejska;6236
1005082;Łyszkowice;gmina wiejska;5444
1005092;Nieborów;gmina wiejska;7665
1005102;Zduny;gmina wiejska;4819
1006022;Andrespol;gmina wiejska;10977
1006032;Brójce;gmina wiejska;5133
1006082;Nowosolna;gmina wiejska;3784
1007012;Białaczów;gmina wiejska;4738
1007032;Mniszków;gmina wiejska;3802
1007052;Paradyż;gmina wiejska;3473
1007062;Poświętne;gmina wiejska;2665
1007072;Sławno;gmina wiejska;5914
1007082;Żarnów;gmina wiejska;5018
1008032;Dłutów;gmina wiejska;3711
1008042;Dobroń;gmina wiejska;6220
1008052;Ksawerów;gmina wiejska;6296
1008062;Lutomiersk;gmina wiejska;6639
1008072;Pabianice;gmina wiejska;5650
1009022;Kiełczygłów;gmina wiejska;3481
1009032;Nowa Brzeźnica;gmina wiejska;3926
1009052;Rząśnia;gmina wiejska;3955
1009062;Siemkowice;gmina wiejska;3891
1009072;Strzelce Wielkie;gmina wiejska;3897
1009082;Sulmierzyce;gmina wiejska;3703
1010012;Aleksandrów;gmina wiejska;3610
1010022;Czarnocin;gmina wiejska;3304
1010032;Gorzkowice;gmina wiejska;6846
1010042;Grabica;gmina wiejska;4869
1010052;Łęki Szlacheckie;gmina wiejska;2891
1010062;Moszczenica;gmina wiejska;10363
1010072;Ręczno;gmina wiejska;2949
1010082;Rozprza;gmina wiejska;9863
1010102;Wola Krzysztoporska;gmina wiejska;9459
1011012;Dalików;gmina wiejska;3158
1011022;Pęczniew;gmina wiejska;2902
1011052;Wartkowice;gmina wiejska;5205
1011062;Zadzim;gmina wiejska;4203
1012022;Dobryszyce;gmina wiejska;3510
1012032;Gidle;gmina wiejska;5220
1012042;Gomunice;gmina wiejska;4829
1012062;Kobiele Wielkie;gmina wiejska;3612
1012072;Kodrąb;gmina wiejska;3758
1012082;Lgota Wielka;gmina wiejska;3523
1012092;Ładzice;gmina wiejska;3909
1012102;Masłowice;gmina wiejska;3459
1012122;Radomsko;gmina wiejska;4664
1012132;Wielgomłyny;gmina wiejska;3863
1012142;Żytno;gmina wiejska;4379
1013032;Cielądz;gmina wiejska;3263
1013042;Rawa Mazowiecka;gmina wiejska;7055
1013052;Regnów;gmina wiejska;1462
1013062;Sadkowice;gmina wiejska;4532
1014032;Brąszewice;gmina wiejska;3563
1014042;Brzeźnio;gmina wiejska;5141
1014052;Burzenin;gmina wiejska;4577
1014062;Goszczanów;gmina wiejska;4490
1014072;Klonowa;gmina wiejska;2352
1014082;Sieradz;gmina wiejska;8410
1014102;Wróblew;gmina wiejska;5039
1015012;Bolimów;gmina wiejska;3295
1015022;Głuchów;gmina wiejska;4646
1015032;Godzianów;gmina wiejska;2089
1015042;Kowiesy;gmina wiejska;2394
1015052;Lipce Reymontowskie;gmina wiejska;2659
1015062;Maków;gmina wiejska;4831
1015072;Nowy Kawęczyn;gmina wiejska;2779
1015082;Skierniewice;gmina wiejska;5993
1015092;Słupia;gmina wiejska;2125
1016022;Będków;gmina wiejska;2767
1016032;Budziszewice;gmina wiejska;1756
1016042;Czerniewice;gmina wiejska;4137
1016052;Inowłódz;gmina wiejska;3216
1016062;Lubochnia;gmina wiejska;5634
1016072;Rokiciny;gmina wiejska;5060
1016082;Rzeczyca;gmina wiejska;3860
1016092;Tomaszów Mazowiecki;gmina wiejska;8762
1016102;Ujazd;gmina wiejska;6358
1016112;Żelechlinek;gmina wiejska;2664
1017012;Biała;gmina wiejska;4480
1017022;Czarnożyły;gmina wiejska;3698
1017032;Konopnica;gmina wiejska;3166
1017042;Mokrsko;gmina wiejska;4359
1017052;Osjaków;gmina wiejska;3812
1017062;Ostrówek;gmina wiejska;3723
1017072;Pątnów;gmina wiejska;5248
1017082;Skomlin;gmina wiejska;2699
1017102;Wierzchlas;gmina wiejska;5446
1018012;Bolesławiec;gmina wiejska;3357
1018022;Czastary;gmina wiejska;3197
1018032;Galewice;gmina wiejska;5056
1018042;Lututów;gmina wiejska;3710
1018052;Łubnice;gmina wiejska;3342
1018062;Sokolniki;gmina wiejska;4035
1019032;Zapolice;gmina wiejska;4169
1019042;Zduńska Wola;gmina wiejska;9680
1020052;Głowno;gmina wiejska;4015
1020062;Ozorków;gmina wiejska;5747
1020072;Parzęczew;gmina wiejska;4047
1020092;Zgierz;gmina wiejska;11238
1021022;Brzeziny;gmina wiejska;4553
1021032;Dmosin;gmina wiejska;3747
1021042;Jeżów;gmina wiejska;2872
1021052;Rogów;gmina wiejska;3925
1201022;Bochnia;gmina wiejska;15619
1201032;Drwinia;gmina wiejska;5273
1201042;Lipnica Murowana;gmina wiejska;4378
1201052;Łapanów;gmina wiejska;6198
1201072;Rzezawa;gmina wiejska;8921
1201082;Trzciana;gmina wiejska;4242
1201092;Żegocina;gmina wiejska;4181
1202012;Borzęcin;gmina wiejska;6866
1202042;Dębno;gmina wiejska;11681
1202052;Gnojnik;gmina wiejska;6108
1202062;Iwkowa;gmina wiejska;4860
1202072;Szczurowa;gmina wiejska;7890
1203022;Babice;gmina wiejska;7593
1204012;Bolesław;gmina wiejska;2302
1204032;Gręboszów;gmina wiejska;2977
1204042;Mędrzechów;gmina wiejska;2954
1204052;Olesno;gmina wiejska;6468
1204062;Radgoszcz;gmina wiejska;5904
1205042;Gorlice;gmina wiejska;13905
1205052;Lipinki;gmina wiejska;5530
1205062;Łużna;gmina wiejska;6662
1205072;Moszczenica;gmina wiejska;3820
1205082;Ropa;gmina wiejska;4131
1205092;Sękowa;gmina wiejska;4026
1205102;Uście Gorlickie;gmina wiejska;5265
1206012;Czernichów;gmina wiejska;11555
1206022;Igołomia-Wawrzeńczyce;gmina wiejska;6276
1206032;Iwanowice;gmina wiejska;7168
1206042;Jerzmanowice-Przeginia;gmina wiejska;8828
1206052;Kocmyrzów-Luborzyca;gmina wiejska;12151
1206072;Liszki;gmina wiejska;13411
1206082;Michałowice;gmina wiejska;7958
1206092;Mogilany;gmina wiejska;10673
1206132;Sułoszowa;gmina wiejska;4671
1206152;Wielka Wieś;gmina wiejska;9107
1206162;Zabierzów;gmina wiejska;20940
1206172;Zielonki;gmina wiejska;16736
1207032;Dobra;gmina wiejska;7768
1207042;Jodłownik;gmina wiejska;6593
1207052;Kamienica;gmina wiejska;5936
1207062;Laskowa;gmina wiejska;6021
1207072;Limanowa;gmina wiejska;19012
1207082;Łukowica;gmina wiejska;7382
1207092;Mszana Dolna;gmina wiejska;13421
1207102;Niedźwiedź;gmina wiejska;5528
1207112;Słopnice;gmina wiejska;4776
1207122;Tymbark;gmina wiejska;4930
1208012;Charsznica;gmina wiejska;6294
1208022;Gołcza;gmina wiejska;5083
1208032;Kozłów;gmina wiejska;3924
1208042;Książ Wielki;gmina wiejska;4282
1208062;Racławice;gmina wiejska;2042
1208072;Słaboszów;gmina wiejska;2974
1209022;Lubień;gmina wiejska;7722
1209042;Pcim;gmina wiejska;8546
1209052;Raciechowice;gmina wiejska;4974
1209062;Siepraw;gmina wiejska;6823
1209082;Tokarnia;gmina wiejska;6676
1209092;Wiśniowa;gmina wiejska;5646
1210022;Chełmiec;gmina wiejska;21464
1210032;Gródek nad Dunajcem;gmina wiejska;7044
1210042;Grybów;gmina wiejska;18677
1210052;Kamionka Wielka;gmina wiejska;7707
1210062;Korzenna;gmina wiejska;10914
1210082;Łabowa;gmina wiejska;4396
1210092;Łącko;gmina wiejska;12287
1210102;Łososina Dolna;gmina wiejska;8172
1210122;Nawojowa;gmina wiejska;6398
1210142;Podegrodzie;gmina wiejska;9687
1210152;Rytro;gmina wiejska;3021
1211032;Czarny Dunajec;gmina wiejska;17861
1211042;Czorsztyn;gmina wiejska;6027
1211052;Jabłonka;gmina wiejska;14020
1211062;Krościenko nad Dunajcem;gmina wiejska;5307
1211072;Lipnica Wielka;gmina wiejska;4548
1211082;Łapsze Niżne;gmina wiejska;7363
1211092;Nowy Targ;gmina wiejska;18752
1211102;Ochotnica Dolna;gmina wiejska;6501
1211112;Raba Wyżna;gmina wiejska;11505
1211132;Spytkowice;gmina wiejska;3469
1211142;Szaflary;gmina wiejska;8701
1212032;Bolesław;gmina wiejska;6551
1212042;Klucze;gmina wiejska;12593
1212062;Trzyciąż;gmina wiejska;5765
1213052;Osiek;gmina wiejska;6559
1213062;Oświęcim;gmina wiejska;14810
1213072;Polanka Wielka;gmina wiejska;3467
1213082;Przeciszów;gmina wiejska;5469
1214012;Koniusza;gmina wiejska;7231
1214022;Koszyce;gmina wiejska;4692
1214042;Pałecznica;gmina wiejska;2926
1214062;Radziemice;gmina wiejska;2791
1215032;Budzów;gmina wiejska;6798
1215042;Bystra-Sidzina;gmina wiejska;5316
1215052;Jordanów;gmina wiejska;8679
1215072;Stryszawa;gmina wiejska;9594
1215082;Zawoja;gmina wiejska;7230
1215092;Zembrzyce;gmina wiejska;4582
1216022;Gromnik;gmina wiejska;6886
1216032;Lisia Góra;gmina wiejska;11824
1216042;Pleśna;gmina wiejska;9566
1216072;Rzepiennik Strzyżewski;gmina wiejska;5327
1216082;Skrzyszów;gmina wiejska;11234
1216092;Tarnów;gmina wiejska;20706
1216112;Wierzchosławice;gmina wiejska;8805
1216122;Wietrzychowice;gmina wiejska;3415
1216162;Szerzyny;gmina wiejska;6357
1217022;Biały Dunajec;gmina wiejska;5635
1217032;Bukowina Tatrzańska;gmina wiejska;10469
1217042;Kościelisko;gmina wiejska;7012
1217052;Poronin;gmina wiejska;8940
1218022;Brzeźnica;gmina wiejska;8135
1218042;Lanckorona;gmina wiejska;4859
1218052;Mucharz;gmina wiejska;3213
1218062;Spytkowice;gmina wiejska;8229
1218072;Stryszów;gmina wiejska;5497
1218082;Tomice;gmina wiejska;6250
1218102;Wieprz;gmina wiejska;9572
1219012;Biskupice;gmina wiejska;7860
1219022;Gdów;gmina wiejska;14019
1219032;Kłaj;gmina wiejska;8530
1401022;Promna;gmina wiejska;4456
1401032;Radzanów;gmina wiejska;3033
1401042;Stara Błotnica;gmina wiejska;4064
1401052;Stromiec;gmina wiejska;4524
1402022;Ciechanów;gmina wiejska;5588
1402042;Gołymin-Ośrodek;gmina wiejska;3108
1402052;Grudusk;gmina wiejska;2998
1402062;Ojrzeń;gmina wiejska;3472
1402072;Opinogóra Górna;gmina wiejska;4850
1402082;Regimin;gmina wiejska;4075
1402092;Sońsk;gmina wiejska;6374
1403032;Borowie;gmina wiejska;4136
1403042;Garwolin;gmina wiejska;9989
1403052;Górzno;gmina wiejska;5024
1403062;Łaskarzew;gmina wiejska;4364
1403072;Maciejowice;gmina wiejska;5749
1403082;Miastków Kościelny;gmina wiejska;3862
1403092;Parysów;gmina wiejska;3142
1403112;Sobolew;gmina wiejska;6472
1403122;Trojanów;gmina wiejska;5935
1403132;Wilga;gmina wiejska;4306
1404022;Gostynin;gmina wiejska;9913
1404032;Pacyna;gmina wiejska;3083
1404042;Sanniki;gmina wiejska;5085
1404052;Szczawin Kościelny;gmina wiejska;4100
1405032;Baranów;gmina wiejska;4127
1405052;Jaktorów;gmina wiejska;9427
1405062;Żabia Wola;gmina wiejska;6525
1406012;Belsk Duży;gmina wiejska;5420
1406022;Błędów;gmina wiejska;6193
1406032;Chynów;gmina wiejska;7906
1406042;Goszczyn;gmina wiejska;2350
1406062;Jasieniec;gmina wiejska;4301
1406092;Pniewy;gmina wiejska;3787
1407012;Garbatka-Letnisko;gmina wiejska;4329
1407022;Głowaczów;gmina wiejska;5948
1407032;Gniewoszów;gmina wiejska;3257
1407042;Grabów nad Pilicą;gmina wiejska;3125
1407062;Magnuszew;gmina wiejska;5479
1407072;Sieciechów;gmina wiejska;3270
1408022;Jabłonna;gmina wiejska;14112
1408032;Nieporęt;gmina wiejska;11101
1408052;Wieliszew;gmina wiejska;10335
1409012;Chotcza;gmina wiejska;1976
1409022;Ciepielów;gmina wiejska;4628
1409042;Rzeczniów;gmina wiejska;3739
1409052;Sienno;gmina wiejska;4930
1409062;Solec nad Wisłą;gmina wiejska;4223
1410012;Huszlew;gmina wiejska;2322
1410032;Olszanka;gmina wiejska;2448
1410042;Platerów;gmina wiejska;4041
1410052;Sarnaki;gmina wiejska;4120
1410062;Stara Kornica;gmina wiejska;3987
1411022;Czerwonka;gmina wiejska;2161
1411032;Karniewo;gmina wiejska;4178
1411042;Krasnosielc;gmina wiejska;5147
1411052;Młynarze;gmina wiejska;1405
1411062;Płoniawy-Bramura;gmina wiejska;4575
1411082;Rzewnie;gmina wiejska;2155
1411092;Sypniewo;gmina wiejska;2704
1411102;Szelków;gmina wiejska;2963
1412042;Cegłów;gmina wiejska;5121
1412052;Dębe Wielkie;gmina wiejska;7719
1412062;Dobre;gmina wiejska;4811
1412082;Jakubów;gmina wiejska;3998
1412102;Latowicz;gmina wiejska;4303
1412112;Mińsk Mazowiecki;gmina wiejska;11949
1412132;Siennica;gmina wiejska;5985
1412142;Stanisławów;gmina wiejska;5354
1413022;Dzierzgowo;gmina wiejska;2610
1413032;Lipowiec Kościelny;gmina wiejska;3931
1413042;Radzanów;gmina wiejska;2725
1413052;Strzegowo;gmina wiejska;6278
1413062;Stupsk;gmina wiejska;4004
1413072;Szreńsk;gmina wiejska;3449
1413082;Szydłowo;gmina wiejska;3734
1413092;Wieczfnia Kościelna;gmina wiejska;3285
1413102;Wiśniewo;gmina wiejska;4303
1414022;Czosnów;gmina wiejska;7950
1414032;Leoncin;gmina wiejska;4496
1414052;Pomiechówek;gmina wiejska;7392
1415012;Baranowo;gmina wiejska;5416
1415022;Czarnia;gmina wiejska;2057
1415032;Czerwin;gmina wiejska;4161
1415042;Goworowo;gmina wiejska;6862
1415052;Kadzidło;gmina wiejska;9033
1415062;Lelis;gmina wiejska;7348
1415072;Łyse;gmina wiejska;6606
1415092;Olszewo-Borki;gmina wiejska;8266
1415102;Rzekuń;gmina wiejska;8410
1415112;Troszyn;gmina wiejska;3913
1416022;Andrzejewo;gmina wiejska;3475
1416032;Boguty-Pianki;gmina wiejska;2190
1416052;Małkinia Górna;gmina wiejska;9649
1416062;Nur;gmina wiejska;2394
1416072;Ostrów Mazowiecka;gmina wiejska;10385
1416082;Stary Lubotyń;gmina wiejska;3029
1416092;Szulborze Wielkie;gmina wiejska;1421
1416102;Wąsewo;gmina wiejska;3593
1416112;Zaręby Kościelne;gmina wiejska;3043
1417032;Celestynów;gmina wiejska;9345
1417052;Kołbiel;gmina wiejska;6524
1417062;Osieck;gmina wiejska;2843
1417072;Sobienie-Jeziory;gmina wiejska;5218
1417082;Wiązowna;gmina wiejska;9619
1418032;Lesznowola;gmina wiejska;18388
1418052;Prażmów;gmina wiejska;8281
1419012;Bielsk;gmina wiejska;7358
1419022;Bodzanów;gmina wiejska;6841
1419032;Brudzeń Duży;gmina wiejska;6602
1419042;Bulkowo;gmina wiejska;4598
1419072;Łąck;gmina wiejska;4420
1419082;Mała Wieś;gmina wiejska;5078
1419092;Nowy Duninów;gmina wiejska;3286
1419102;Radzanowo;gmina wiejska;6744
1419112;Słubice;gmina wiejska;3701
1419122;Słupno;gmina wiejska;5934
1419132;Stara Biała;gmina wiejska;9352
1419142;Staroźreby;gmina wiejska;6019
1420032;Baboszewo;gmina wiejska;6433
1420042;Czerwińsk nad Wisłą;gmina wiejska;6356
1420052;Dzierzążnia;gmina wiejska;3064
1420062;Joniec;gmina wiejska;2154
1420072;Naruszewo;gmina wiejska;5190
1420082;Nowe Miasto;gmina wiejska;3884
1420092;Płońsk;gmina wiejska;6207
1420102;Raciąż;gmina wiejska;7001
1420112;Sochocin;gmina wiejska;4751
1420122;Załuski;gmina wiejska;4591
1421042;Michałowice;gmina wiejska;14016
1421052;Nadarzyn;gmina wiejska;10186
1421062;Raszyn;gmina wiejska;17371
1422032;Czernice Borowe;gmina wiejska;3125
1422042;Jednorożec;gmina wiejska;5654
1422052;Krasne;gmina wiejska;2970
1422062;Krzynowłoga Mała;gmina wiejska;2783
1422072;Przasnysz;gmina wiejska;5776
1423012;Borkowice;gmina wiejska;3551
1423022;Gielniów;gmina wiejska;3843
1423032;Klwów;gmina wiejska;2787
1423042;Odrzywół;gmina wiejska;3204
1423052;Potworów;gmina wiejska;3424
1423072;Rusinów;gmina wiejska;3525
1423082;Wieniawa;gmina wiejska;4365
1424012;Gzy;gmina wiejska;3184
1424022;Obryte;gmina wiejska;3943
1424032;Pokrzywnica;gmina wiejska;3951
1424052;Świercze;gmina wiejska;3762
1424062;Winnica;gmina wiejska;3222
1424072;Zatory;gmina wiejska;3853
1425022;Gózd;gmina wiejska;6765
1425042;Jastrzębia;gmina wiejska;5439
1425052;Jedlińsk;gmina wiejska;11069
1425062;Jedlnia-Letnisko;gmina wiejska;10104
1425072;Kowala;gmina wiejska;9328
1425082;Pionki;gmina wiejska;8103
1425092;Przytyk;gmina wiejska;5731
1425112;Wierzbica;gmina wiejska;7984
1425122;Wolanów;gmina wiejska;6817
1425132;Zakrzew;gmina wiejska;9912
1426012;Domanice;gmina wiejska;2091
1426022;Korczew;gmina wiejska;2282
1426032;Kotuń;gmina wiejska;6859
1426042;Mokobody;gmina wiejska;4048
1426062;Paprotnia;gmina wiejska;2081
1426072;Przesmyki;gmina wiejska;2719
1426082;Siedlce;gmina wiejska;14213
1426092;Skórzec;gmina wiejska;6060
1426102;Suchożebry;gmina wiejska;3769
1426112;Wiśniew;gmina wiejska;4596
1426122;Wodynie;gmina wiejska;3640
1426132;Zbuczyn;gmina wiejska;7954
1427022;Gozdowo;gmina wiejska;4861
1427032;Mochowo;gmina wiejska;4889
1427042;Rościszewo;gmina wiejska;3403
1427052;Sierpc;gmina wiejska;5601
1427062;Szczutowo;gmina wiejska;3510
1427072;Zawidz;gmina wiejska;5495
1428022;Brochów;gmina wiejska;3510
1428032;Iłów;gmina wiejska;4960
1428042;Młodzieszyn;gmina wiejska;4508
1428052;Nowa Sucha;gmina wiejska;5197
1428062;Rybno;gmina wiejska;2754
1428072;Sochaczew;gmina wiejska;8346
1428082;Teresin;gmina wiejska;9194
1429022;Bielany;gmina wiejska;2961
1429032;Ceranów;gmina wiejska;1910
1429042;Jabłonna Lacka;gmina wiejska;3885
1429062;Repki;gmina wiejska;4454
1429072;Sabnie;gmina wiejska;3147
1429082;Sokołów Podlaski;gmina wiejska;4971
1429092;Sterdyń;gmina wiejska;3439
1430012;Chlewiska;gmina wiejska;5043
1430022;Jastrząb;gmina wiejska;4199
1430032;Mirów;gmina wiejska;3054
1430042;Orońsko;gmina wiejska;4684
1432022;Izabelin;gmina wiejska;8471
1432032;Kampinos;gmina wiejska;3499
1432042;Leszno;gmina wiejska;8019
1432072;Stare Babice;gmina wiejska;14395
1433022;Grębków;gmina wiejska;3599
1433032;Korytnica;gmina wiejska;5179
1433042;Liw;gmina wiejska;6112
1433062;Miedzna;gmina wiejska;3277
1433072;Sadowne;gmina wiejska;4811
1433082;Stoczek;gmina wiejska;4111
1433092;Wierzbno;gmina wiejska;2354
1434052;Dąbrówka;gmina wiejska;6199
1434062;Jadów;gmina wiejska;6154
1434072;Klembów;gmina wiejska;7570
1434082;Poświętne;gmina wiejska;4812
1434102;Strachówka;gmina wiejska;2264
1435012;Brańszczyk;gmina wiejska;6787
1435022;Długosiodło;gmina wiejska;6256
1435032;Rząśnik;gmina wiejska;5497
1435042;Somianka;gmina wiejska;4440
1435062;Zabrodzie;gmina wiejska;4587
1436012;Kazanów;gmina wiejska;3640
1436022;Policzna;gmina wiejska;4702
1436032;Przyłęk;gmina wiejska;5080
1436042;Tczów;gmina wiejska;3869
1437022;Kuczbork-Osada;gmina wiejska;3911
1437032;Lubowidz;gmina wiejska;5698
1437042;Lutocin;gmina wiejska;3490
1437052;Siemiątkowo;gmina wiejska;2864
1438032;Puszcza Mariańska;gmina wiejska;7000
1438042;Radziejowice;gmina wiejska;4469
1438052;Wiskitki;gmina wiejska;8002
1601022;Skarbimierz;gmina wiejska;6371
1601052;Lubsza;gmina wiejska;7404
1601062;Olszanka;gmina wiejska;4047
1602022;Branice;gmina wiejska;5617
1603022;Bierawa;gmina wiejska;6653
1603032;Cisek;gmina wiejska;4824
1603042;Pawłowiczki;gmina wiejska;6475
1603052;Polska Cerekiew;gmina wiejska;3566
1603062;Reńska Wieś;gmina wiejska;6970
1604032;Lasowice Wielkie;gmina wiejska;5930
1605032;Strzeleczki;gmina wiejska;6267
1605042;Walce;gmina wiejska;4683
1606012;Domaszowice;gmina wiejska;2951
1606032;Pokój;gmina wiejska;4381
1606042;Świerczów;gmina wiejska;2854
1606052;Wilków;gmina wiejska;3610
1607022;Kamiennik;gmina wiejska;2957
1607042;Łambinowice;gmina wiejska;6399
1607082;Pakosławice;gmina wiejska;3052
1607092;Skoroszyce;gmina wiejska;5118
1608052;Radłów;gmina wiejska;3613
1608062;Rudniki;gmina wiejska;6839
1608072;Zębowice;gmina wiejska;3156
1609012;Chrząstowice;gmina wiejska;5818
1609022;Dąbrowa;gmina wiejska;8090
1609032;Dobrzeń Wielki;gmina wiejska;12213
1609042;Komprachcice;gmina wiejska;9469
1609052;Łubniany;gmina wiejska;8137
1609062;Murów;gmina wiejska;4692
1609092;Popielów;gmina wiejska;6854
1609112;Tarnów Opolski;gmina wiejska;8066
1609122;Tułowice;gmina wiejska;4310
1609132;Turawa;gmina wiejska;8253
1610032;Lubrza;gmina wiejska;3611
1611012;Izbicko;gmina wiejska;4530
1611022;Jemielnica;gmina wiejska;6030
1801032;Czarna;gmina wiejska;1965
1801052;Lutowiska;gmina wiejska;1761
1802022;Domaradz;gmina wiejska;4925
1802032;Dydnia;gmina wiejska;6498
1802042;Haczów;gmina wiejska;7385
1802052;Jasienica Rosielna;gmina wiejska;6117
1802062;Nozdrzec;gmina wiejska;6699
1803032;Czarna;gmina wiejska;10417
1803042;Dębica;gmina wiejska;20286
1803052;Jodłowa;gmina wiejska;4361
1803072;Żyraków;gmina wiejska;11074
1804032;Chłopice;gmina wiejska;4593
1804042;Jarosław;gmina wiejska;10583
1804052;Laszki;gmina wiejska;5564
1804062;Pawłosiów;gmina wiejska;6875
1804082;Radymno;gmina wiejska;9199
1804092;Rokietnica;gmina wiejska;3519
1804102;Roźwienica;gmina wiejska;5005
1804112;Wiązownica;gmina wiejska;9290
1805022;Brzyska;gmina wiejska;5246
1805032;Dębowiec;gmina wiejska;7088
1805042;Jasło;gmina wiejska;13452
1805062;Krempna;gmina wiejska;1588
1805072;Nowy Żmigród;gmina wiejska;7541
1805082;Osiek Jasielski;gmina wiejska;4354
1805092;Skołyszyn;gmina wiejska;10196
1805112;Tarnowiec;gmina wiejska;7498
1806012;Cmolas;gmina wiejska;6541
1806032;Majdan Królewski;gmina wiejska;7997
1806042;Niwiska;gmina wiejska;4828
1806052;Raniżów;gmina wiejska;5700
1806062;Dzikowiec;gmina wiejska;5311
1807012;Chorkówka;gmina wiejska;10771
1807052;Korczyna;gmina wiejska;8975
1807062;Krościenko Wyżne;gmina wiejska;4445
1807072;Miejsce Piastowe;gmina wiejska;11110
1807092;Wojaszówka;gmina wiejska;7497
1807102;Jaśliska;gmina wiejska;1625
1808022;Grodzisko Dolne;gmina wiejska;6565
1808032;Kuryłówka;gmina wiejska;4608
1808042;Leżajsk;gmina wiejska;16239
1809032;Horyniec-Zdrój;gmina wiejska;4035
1809042;Lubaczów;gmina wiejska;7428
1809072;Stary Dzików;gmina wiejska;3518
1809082;Wielkie Oczy;gmina wiejska;3152
1810022;Białobrzegi;gmina wiejska;6784
1810032;Czarna;gmina wiejska;9287
1810042;Łańcut;gmina wiejska;17217
1810052;Markowa;gmina wiejska;5294
1810062;Rakszawa;gmina wiejska;5802
1810072;Żołynia;gmina wiejska;5505
1811022;Borowa;gmina wiejska;4503
1811032;Czermin;gmina wiejska;5602
1811042;Gawłuszowice;gmina wiejska;2243
1811052;Mielec;gmina wiejska;10677
1811062;Padew Narodowa;gmina wiejska;4369
1811092;Tuszów Narodowy;gmina wiejska;6453
1811102;Wadowice Górne;gmina wiejska;6039
1812012;Harasiuki;gmina wiejska;5192
1812022;Jarocin;gmina wiejska;4504
1812032;Jeżowe;gmina wiejska;8032
1812042;Krzeszów;gmina wiejska;3558
1813012;Bircza;gmina wiejska;5462
1813022;Dubiecko;gmina wiejska;7532
1813032;Fredropol;gmina wiejska;4518
1813042;Krasiczyn;gmina wiejska;4151
1813052;Krzywcza;gmina wiejska;3988
1813062;Medyka;gmina wiejska;5281
1813072;Orły;gmina wiejska;7071
1813082;Przemyśl;gmina wiejska;8696
1813092;Stubno;gmina wiejska;3182
1813102;Żurawica;gmina wiejska;10524
1814022;Adamówka;gmina wiejska;3308
1814032;Gać;gmina wiejska;3707
1814042;Jawornik Polski;gmina wiejska;3772
1814062;Przeworsk;gmina wiejska;11907
